year_start,year_end,year,ba,ba-sigma,ba-lo,ba-hi,bw,bw-sigma,bw-lo,bw-hi,ba-2sigma,bw-2sigma
2001,2002,2001/2002,,,,,0.36,0.18,0.18,0.54,,0.36
2002,2003,2002/2003,-1.61,0.25,-1.86,-1.36,0.56,0.18,0.38,0.74,-0.5,0.36
2003,2004,2003/2004,-1.71,0.25,-1.96,-1.46,0.46,0.18,0.28,0.64,-0.5,0.36
2004,2005,2004/2005,-1.41,0.25,-1.66,-1.16,0.68,0.18,0.5,0.86,-0.5,0.36
2005,2006,2005/2006,-1.31,0.25,-1.56,-1.06,0.71,0.18,0.53,0.89,-0.5,0.36
2006,2007,2006/2007,-0.74,0.48,-1.22,-0.26,0.69,0.12,0.57,0.81,-0.96,0.24
2007,2008,2007/2008,-0.32,0.14,-0.46,-0.18,0.78,0.05,0.73,0.83,-0.28,0.1
2008,2009,2008/2009,-0.58,0.15,-0.73,-0.43,0.69,0.05,0.64,0.74,-0.3,0.1
2009,2010,2009/2010,-0.24,0.14,-0.38,-0.1,0.73,0.06,0.67,0.79,-0.28,0.12
2010,2011,2010/2011,-1.08,0.48,-1.56,-0.6,0.79,0.04,0.75,0.83,-0.96,0.08
2011,2012,2011/2012,-0.97,0.48,-1.45,-0.49,0.85,0.12,0.73,0.97,-0.96,0.24
2012,2013,2012/2013,-1.25,0.48,-1.73,-0.77,0.54,0.24,0.2971,0.7771,-0.96,0.48
2013,2014,2013/2014,-0.67,0.16,-0.83,-0.51,0.63,0.03,0.6,0.66,-0.32,0.06
2014,2015,2014/2015,-1.03,0.23,-1.26,-0.8,0.77,0.11,0.66,0.88,-0.46,0.22
2015,2016,2015/2016,-1.88,0.25,-2.13,-1.63,0.54,0.12,0.42,0.66,-0.5,0.24
2016,2017,2016/2017,-1.89,0.25,-2.14,-1.64,0.63,0.06,0.57,0.69,-0.5,0.12
2017,2018,2017/2018,-1.7,0.22,-1.92,-1.48,0.38,0.04,0.34,0.42,-0.44,0.08
2018,2019,2018/2019,-1.21,0.23,-1.44,-0.98,0.51,0.08,0.43,0.59,-0.46,0.16
2019,2020,2019/2020,-2.19,0.24,-2.43,-1.95,0.44,0.18,0.26,0.62,-0.48,0.36